Name,Stars,Link
AutoGPT,181523,https://github.com/Significant-Gravitas/AutoGPT
n8n,171845,https://github.com/n8n-io/n8n
stable-diffusion-webui,160268,https://github.com/AUTOMATIC1111/stable-diffusion-webui
awesome-chatgpt-prompts,143915,https://github.com/f/awesome-chatgpt-prompts
dify,127859,https://github.com/langgenius/dify
langchain,125345,https://github.com/langchain-ai/langchain
open-webui,122215,https://github.com/open-webui/open-webui
system-prompts-and-models-of-ai-tools,111640,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools
generative-ai-for-beginners,105789,https://github.com/microsoft/generative-ai-for-beginners
ComfyUI,101763,https://github.com/Comfy-Org/ComfyUI
